filename,width,height,channels,file_size_mb
Oil (1).jpg,1920,1080,3,0.5959291458129883
Oil (10).jpg,1920,1080,3,0.6248788833618164
Oil (100).jpg,1920,1080,3,0.5901632308959961
Oil (1000).jpg,1920,1080,3,0.5316448211669922
Oil (1001).jpg,1920,1080,3,0.5281467437744141
Oil (1002).jpg,1920,1080,3,0.531092643737793
Oil (1003).jpg,1920,1080,3,0.5309324264526367
Oil (1004).jpg,1920,1080,3,0.5253238677978516
Oil (1005).jpg,1920,1080,3,0.5253009796142578
Oil (1006).jpg,1920,1080,3,0.523651123046875
Oil (1009).jpg,1920,1080,3,0.5136070251464844
Oil (101).jpg,1920,1080,3,0.5940093994140625
Oil (1010).jpg,1920,1080,3,0.5174217224121094
Oil (1011).jpg,1920,1080,3,0.5162019729614258
Oil (1012).jpg,1920,1080,3,0.5239963531494141
Oil (1013).jpg,1920,1080,3,0.5268230438232422
Oil (1015).jpg,1920,1080,3,0.5271053314208984
Oil (1016).jpg,1920,1080,3,0.5243921279907227
Oil (1017).jpg,1920,1080,3,0.5265216827392578
Oil (1018).jpg,1920,1080,3,0.5296440124511719
Oil (102).jpg,1920,1080,3,0.7237930297851562
Oil (1020).jpg,1920,1080,3,0.5378303527832031
Oil (1021).jpg,1920,1080,3,0.5429964065551758
Oil (1022).jpg,1920,1080,3,0.5465536117553711
Oil (1023).jpg,1920,1080,3,0.5437765121459961
Oil (1025).jpg,1920,1080,3,0.5416660308837891
Oil (1027).jpg,1920,1080,3,0.5468130111694336
Oil (1028).jpg,1920,1080,3,0.5552339553833008
Oil (1029).jpg,1920,1080,3,0.552760124206543
Oil (103).jpg,1920,1080,3,0.831873893737793
Oil (1030).jpg,1920,1080,3,0.5553407669067383
Oil (1031).jpg,1920,1080,3,0.5649709701538086
Oil (1032).jpg,1920,1080,3,0.565882682800293
Oil (1034).jpg,1920,1080,3,0.5715475082397461
Oil (1035).jpg,1920,1080,3,0.5764970779418945
Oil (1039).jpg,1920,1080,3,0.5917644500732422
Oil (104).jpg,1920,1080,3,0.6120309829711914
Oil (1040).jpg,1920,1080,3,0.5912008285522461
Oil (1041).jpg,1920,1080,3,0.5958404541015625
Oil (1043).jpg,1920,1080,3,0.5998592376708984
Oil (1046).jpg,1920,1080,3,0.6035499572753906
Oil (1048).jpg,1920,1080,3,0.6076564788818359
Oil (105).jpg,1920,1080,3,0.40038394927978516
Oil (1051).jpg,1920,1080,3,0.6154632568359375
Oil (1052).jpg,1920,1080,3,0.6168966293334961
Oil (1054).jpg,1920,1080,3,0.6184167861938477
Oil (1059).jpg,1920,1080,3,0.622136116027832
Oil (106).jpg,1920,1080,3,0.8597965240478516
Oil (1060).jpg,1920,1080,3,0.6283588409423828
Oil (1063).jpg,1920,1080,3,0.6365346908569336
Oil (1064).jpg,1920,1080,3,0.6848945617675781
Oil (1065).jpg,1920,1080,3,0.6341552734375
Oil (107).jpg,1920,1080,3,0.7868623733520508
Oil (1070).jpg,1920,1080,3,0.6262998580932617
Oil (1073).jpg,1920,1080,3,0.6367387771606445
Oil (1075).jpg,1920,1080,3,0.5946512222290039
Oil (1077).jpg,1920,1080,3,0.5952701568603516
Oil (1079).jpg,1920,1080,3,0.5988359451293945
Oil (1080).jpg,1920,1080,3,0.5990314483642578
Oil (1081).jpg,1920,1080,3,0.5952701568603516
Oil (1082).jpg,1920,1080,3,0.5929031372070312
