filename,width,height,channels,file_size_mb
Oil (1).png,1920,1080,3,0.025040626525878906
Oil (10).png,1920,1080,3,0.017128944396972656
Oil (100).png,1920,1080,3,0.013898849487304688
Oil (1000).png,1920,1080,3,0.03148460388183594
Oil (1001).png,1920,1080,3,0.03274726867675781
Oil (1002).png,1920,1080,3,0.031569480895996094
Oil (1003).png,1920,1080,3,0.0303955078125
Oil (1004).png,1920,1080,3,0.029939651489257812
Oil (1005).png,1920,1080,3,0.027845382690429688
Oil (1006).png,1920,1080,3,0.028493881225585938
Oil (1009).png,1920,1080,3,0.02774333953857422
Oil (101).png,1920,1080,3,0.015383720397949219
Oil (1010).png,1920,1080,3,0.02895832061767578
Oil (1011).png,1920,1080,3,0.02783203125
Oil (1012).png,1920,1080,3,0.026323318481445312
Oil (1013).png,1920,1080,3,0.026559829711914062
Oil (1015).png,1920,1080,3,0.026587486267089844
Oil (1016).png,1920,1080,3,0.028105735778808594
Oil (1017).png,1920,1080,3,0.02807331085205078
Oil (1018).png,1920,1080,3,0.027959823608398438
Oil (102).png,1920,1080,3,0.01682567596435547
Oil (1020).png,1920,1080,3,0.025907516479492188
Oil (1021).png,1920,1080,3,0.028087615966796875
Oil (1022).png,1920,1080,3,0.0279693603515625
Oil (1023).png,1920,1080,3,0.02549266815185547
Oil (1025).png,1920,1080,3,0.027599334716796875
Oil (1027).png,1920,1080,3,0.0283355712890625
Oil (1028).png,1920,1080,3,0.029207229614257812
Oil (1029).png,1920,1080,3,0.02904510498046875
Oil (103).png,1920,1080,3,0.0133514404296875
Oil (1030).png,1920,1080,3,0.028802871704101562
Oil (1031).png,1920,1080,3,0.02898120880126953
Oil (1032).png,1920,1080,3,0.03119945526123047
Oil (1034).png,1920,1080,3,0.03156471252441406
Oil (1035).png,1920,1080,3,0.03009796142578125
Oil (1039).png,1920,1080,3,0.0315093994140625
Oil (104).png,1920,1080,3,0.014760017395019531
Oil (1040).png,1920,1080,3,0.03153514862060547
Oil (1041).png,1920,1080,3,0.03167247772216797
Oil (1043).png,1920,1080,3,0.03296947479248047
Oil (1046).png,1920,1080,3,0.03222179412841797
Oil (1048).png,1920,1080,3,0.035635948181152344
Oil (105).png,1920,1080,3,0.013154983520507812
Oil (1051).png,1920,1080,3,0.03376483917236328
Oil (1052).png,1920,1080,3,0.03321075439453125
Oil (1054).png,1920,1080,3,0.033905029296875
Oil (1059).png,1920,1080,3,0.03517436981201172
Oil (106).png,1920,1080,3,0.015338897705078125
Oil (1060).png,1920,1080,3,0.03365135192871094
Oil (1063).png,1920,1080,3,0.033896446228027344
Oil (1064).png,1920,1080,3,0.033921241760253906
Oil (1065).png,1920,1080,3,0.03502178192138672
Oil (107).png,1920,1080,3,0.015840530395507812
Oil (1070).png,1920,1080,3,0.033092498779296875
Oil (1073).png,1920,1080,3,0.03419971466064453
Oil (1075).png,1920,1080,3,0.01994037628173828
Oil (1077).png,1920,1080,3,0.02151966094970703
Oil (1079).png,1920,1080,3,0.020984649658203125
Oil (1080).png,1920,1080,3,0.021269798278808594
Oil (1081).png,1920,1080,3,0.021164894104003906
Oil (1082).png,1920,1080,3,0.020079612731933594
Oil (1083).png,1920,1080,3,0.021085739135742188
Oil (1087).png,1920,1080,3,0.013051986694335938
Oil (1088).png,1920,1080,3,0.013043403625488281
Oil (1089).png,1920,1080,3,0.013029098510742188
Oil (1090).png,1920,1080,3,0.013072967529296875
Oil (1091).png,1920,1080,3,0.013039588928222656
Oil (1092).png,1920,1080,3,0.013020515441894531
Oil (1094).png,1920,1080,3,0.022363662719726562
Oil (1098).png,1920,1080,3,0.02399921417236328
Oil (11).png,1920,1080,3,0.013321876525878906
Oil (1101).png,1920,1080,3,0.024784088134765625
Oil (1102).png,1920,1080,3,0.030602455139160156
Oil (1103).png,1920,1080,3,0.029389381408691406
Oil (1105).png,1920,1080,3,0.027149200439453125
Oil (1107).png,1920,1080,3,0.02812480926513672
Oil (111).png,1920,1080,3,0.014621734619140625
Oil (1110).png,1920,1080,3,0.027724266052246094
Oil (1111).png,1920,1080,3,0.028553009033203125
Oil (1112).png,1920,1080,3,0.02881622314453125
Oil (1114).png,1920,1080,3,0.02481555938720703
Oil (1115).png,1920,1080,3,0.02732372283935547
Oil (1116).png,1920,1080,3,0.028380393981933594
Oil (1117).png,1920,1080,3,0.02868175506591797
Oil (1118).png,1920,1080,3,0.029382705688476562
Oil (1119).png,1920,1080,3,0.02935504913330078
Oil (1120).png,1920,1080,3,0.029008865356445312
Oil (1126).png,1920,1080,3,0.04015159606933594
Oil (1127).png,1920,1080,3,0.04046630859375
Oil (1129).png,1920,1080,3,0.038987159729003906
Oil (113).png,1920,1080,3,0.015148162841796875
Oil (1131).png,1920,1080,3,0.035050392150878906
Oil (1133).png,1920,1080,3,0.035628318786621094
Oil (1134).png,1920,1080,3,0.03436565399169922
Oil (1135).png,1920,1080,3,0.03477287292480469
Oil (1137).png,1920,1080,3,0.026659011840820312
Oil (1139).png,1920,1080,3,0.02658557891845703
Oil (1141).png,1920,1080,3,0.03168010711669922
Oil (1142).png,1920,1080,3,0.03393268585205078
Oil (1143).png,1920,1080,3,0.036698341369628906
Oil (1146).png,5184,2920,3,0.1264362335205078
Oil (1147).png,1920,1080,3,0.034979820251464844
Oil (1148).png,5184,2920,3,0.12303352355957031
Oil (1150).png,5184,2920,3,0.11008930206298828
Oil (1152).png,1920,1080,3,0.014629364013671875
Oil (1153).png,5184,2920,3,0.08358478546142578
Oil (1154).png,1920,1080,3,0.019089698791503906
Oil (1156).png,1920,1080,3,0.029588699340820312
Oil (1157).png,5184,2920,3,0.09770393371582031
Oil (1158).png,1920,1080,3,0.02965545654296875
Oil (1159).png,5184,2920,3,0.10647106170654297
Oil (116).png,1920,1080,3,0.015933990478515625
Oil (1160).png,1920,1080,3,0.031612396240234375
Oil (1161).png,5184,2920,3,0.10181903839111328
Oil (1163).png,5184,2920,3,0.13465118408203125
Oil (1165).png,1920,1080,3,0.03190326690673828
Oil (1166).png,5184,2920,3,0.12666797637939453
Oil (1167).png,1920,1080,3,0.029799461364746094
Oil (1168).png,5184,2920,3,0.11690235137939453
Oil (1169).png,1920,1080,3,0.030570030212402344
Oil (117).png,1920,1080,3,0.015189170837402344
Oil (1170).png,5184,2920,3,0.11830806732177734
Oil (1174).png,1920,1080,3,0.03391551971435547
Oil (1176).png,5184,2920,3,0.1225881576538086
Oil (1179).png,5184,2920,3,0.12124347686767578
Oil (1180).png,768,432,3,0.013569831848144531
Oil (1181).png,768,432,3,0.013491630554199219
Oil (1182).png,768,432,3,0.01375579833984375
Oil (1185).png,768,432,3,0.013120651245117188
Oil (1189).png,768,432,3,0.013693809509277344
Oil (119).png,1920,1080,3,0.015188217163085938
Oil (1192).png,768,432,3,0.012543678283691406
Oil (1193).png,768,432,3,0.012335777282714844
Oil (1196).png,768,432,3,0.012164115905761719
Oil (1199).png,768,432,3,0.013472557067871094
Oil (1200).png,768,432,3,0.014269828796386719
Oil (1201).png,768,432,3,0.013743400573730469
Oil (1202).png,768,432,3,0.012950897216796875
Oil (1203).png,768,432,3,0.013116836547851562
